0.6640446186065674    1681055124.620365
8000    15000
alphaList_a     alphaList_n    E_a         E_n         v_a         v_n 
1.0    1.0   2.0166520366551945    1.9713972446289885    0.04788225170089966    0.06037792990406654
0.936156997732138    0.9194324562091674   1.898401853938947    1.8651556656252861    0.04924640119187629    0.05032078118949457
0.8575375958654439    0.8348540592425041   1.775827496141221    1.8100835866676104    0.03989032001273207    0.03278271532555177
0.7753523348164697    0.7614317237093535   1.7259018120743652    1.7325178000240458    0.02285831375148817    0.01533566162277289
0.7102606902120738    0.715105451267812   1.6533241010298239    1.6869854896359628    0.019237144667223482    0.014317047444917463
0.6346638579149942    0.6607091497490785   1.5866172805622911    1.6170746930709186    0.007168132004968797    0.010397487068443567
0.5877514504617449    0.6048234594394625   1.5655668651323533    1.559653327164002    0.0038747079705161447    0.006322714814659847
0.547158090368011    0.5500758360550815   1.5251586725186517    1.5352090115113675    0.0012059194465345868    0.001099633386895782
0.5227378555424549    0.5293327212453993   1.515194162040998    1.5159283140695026    0.00021392265899455865    0.00044287131161713233
0.513538806082645    0.5149256720719313   1.508621899512035    1.50965853069563    0.00010257420689629981    0.0001110988750898656
0.5060636990011035    0.5088015277080546   1.5043598776847058    1.5051895600685512    1.802892736524342e-05    6.384596726327629e-05
0.5031083636081662    0.5031546083804289   1.5023551068844185    1.5027182864210435    4.46746184668001e-06    1.8900260261300872e-05
0.5016755780821912    0.50163612279265   1.5005139737003061    1.5025862712796458    1.8237483856431425e-06    1.6387933632344698e-05
0.5005889694158909    0.501221558691389   1.5003661915778055    1.5006303717626401    1.7776033356398102e-07    2.280509085617055e-05
0.5002873311796762    0.5003068341621711   1.5001795773349424    1.4988624240361745    4.835511857592678e-08    2.5091085038564387e-05
0.5001190889813185    0.4993207449578561   1.5000788711957815    1.5000208786810816    6.447939515652479e-09    1.228422468058099e-05
0.0    0.49983713713539013   0.0    1.4983043665063778    0.0    1.7248721631890618e-05
0.0    0.49898049771115816   0.0    1.5004929430769411    0.0    2.1328468108539056e-05
0.0    0.5002122706474413   0.0    1.4979856428251144    0.0    1.8364054837238797e-05
0.0    0.49950807446341666   0.0    1.5001488415566642    0.0    1.7222288700047272e-05
0.0    0.5003838342908317   0.0    1.4998049602671741    0.0    2.0362711344645845e-05
0.0    0.49993457994170837   0.0    1.5010264201373886    0.0    1.379172848103849e-05
0.0    0.5003460848598403   0.0    1.4977680473099315    0.0    2.104773912536828e-05
0.0    0.49869793148488534   0.0    1.4994388892981287    0.0    1.369453647992458e-05
0.0    0.49950252522841915   0.0    1.500082170362223    0.0    1.5531622371778298e-05
0.0    0.49963520929093685   0.0    1.4991682959314443    0.0    1.7726455638467087e-05
0.0    0.49932082400402106   0.0    1.4993744508735238    0.0    1.0537103726893093e-05
0.0    0.49986456228293474   0.0    1.5019477740802984    0.0    1.3389110808059712e-05
0.0    0.5005167659872966   0.0    1.4980036123795222    0.0    2.4287766927866272e-05
0.0    0.4986112366381728   0.0    1.4987092458989004    0.0    1.7230472129980967e-05
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
0.0    0.0   0.0    0.0    0.0    0.0
