Energies   eta
1.9992010634072859   2.0
2.000264934519164   2.0
1.999716974611974   2.0
2.000215381120949   2.0
2.0004894014642614   2.0
1.9996979546006246   2.0
2.000439582108653   2.0
2.0001421575964184   2.0
1.9996582144309423   2.0
2.000034495315575   2.0
Energies   eta
2.001223343859723   2.0
2.001024117786211   2.0
2.00006181697934   2.0
2.0008317212543956   2.0
2.00016536131955   2.0
1.9998453052100698   2.0
2.0003427103017724   2.0
2.000979509412501   2.0
1.9997546433581461   2.0
1.999795272631175   2.0
Energies   eta
1.9992986499618681   2.0
1.999186575039303   2.0
1.9991822710556115   2.0
1.9991278467750013   2.0
2.0005911999097026   2.0
1.9992952179525962   2.0
2.0009874791574704   2.0
1.9992248729893065   2.0
1.9998012118091004   2.0
2.000059988527887   2.0
Energies   eta
1.999049200490582   2.0
1.9995760985139122   2.0
2.0003193374517374   2.0
1.9996333790449312   2.0
2.0004135564420666   2.0
1.99994279384728   2.0
2.0006286441097867   2.0
1.9996405984532823   2.0
1.999452325757259   2.0
2.000360671841786   2.0
Energies   eta
1.9999953808364375   2.0
1.999832786396117   2.0
2.0003606094205724   2.0
2.0000725388510587   2.0
1.9998814140033099   2.0
1.9999351839469037   2.0
1.9996628253611723   2.0
1.9999869425726589   2.0
1.9999536130079283   2.0
2.000123676667772   2.0
Energies   eta
2.000000686094582   2.0
2.00065514136359   2.0
2.0003863341979957   2.0
1.9993175758846842   2.0
2.000793926115197   2.0
1.9990795949469595   2.0
2.0006317602031136   2.0
1.9995565606969072   2.0
1.9998720492252804   2.0
1.9997013861420971   2.0
Energies   eta
1.999211281014558   2.0
2.0001965481985704   2.0
2.0004097696635332   2.0
1.9997617333189373   2.0
1.9995158866250229   2.0
2.0003677175167884   2.0
1.9997277903471506   2.0
2.0000779054475055   2.0
2.0001869461243396   2.0
1.999782938249331   2.0
Energies   eta
1.9998086501917185   2.0
1.9998049012990433   2.0
1.9999156698599145   2.0
2.0001693755707426   2.0
1.9998440568893603   2.0
2.000202569737107   2.0
2.000265124813277   2.0
2.0003270030984726   2.0
1.9998234905653738   2.0
1.9999741289051414   2.0
Energies   eta
1.9998839047695514   2.0
1.999024450933329   2.0
2.000831545035471   2.0
2.0000268179742835   2.0
1.999795194963768   2.0
1.9998632942810528   2.0
2.0001277376366047   2.0
2.0008619791545295   2.0
1.99972855138453   2.0
1.9993939261581102   2.0
Energies   eta
1.9990351659573988   2.0
2.001415756867652   2.0
1.9997228837726826   2.0
1.999676437825638   2.0
1.9996582415970459   2.0
2.0005231961030807   2.0
2.000746466331682   2.0
2.0008704984681085   2.0
1.9998591724072894   2.0
1.999984635683224   2.0
Energies   eta
2.000248163073384   2.0
1.9997139263683597   2.0
2.0002039636015945   2.0
1.9994743220922915   2.0
1.9992750101415409   2.0
1.999944354767822   2.0
1.9990249462699368   2.0
2.000278953436713   2.0
2.0000062003143864   2.0
2.0008430362780762   2.0
Energies   eta
2.0003933616402145   2.0
2.000364071666694   2.0
2.0004632286891098   2.0
2.00037008071297   2.0
2.0002494916290035   2.0
1.9999732063441138   2.0
2.000756425222244   2.0
1.9999425118996927   2.0
1.9995949667400539   2.0
1.9992971409722455   2.0
Energies   eta
2.0009224958301903   2.0
2.0004914134265874   2.0
1.9998873505778514   2.0
2.0000698675687114   2.0
1.9999174490403384   2.0
1.9998679174887835   2.0
1.9999385913388463   2.0
2.000140163946757   2.0
2.000118260373227   2.0
2.0002416004297885   2.0
Energies   eta
1.999151024774316   2.0
2.000780544899388   2.0
2.000663605962264   2.0
2.0002264911512455   2.0
1.9998863387728045   2.0
2.0011693391136034   2.0
2.0002797423269887   2.0
2.0006469577274313   2.0
1.9995632314729088   2.0
2.000623366435652   2.0
Energies   eta
2.000785927442131   2.0
1.9996494345473812   2.0
1.9990138820185999   2.0
1.9995572256672713   2.0
2.000424507631649   2.0
1.999371652402333   2.0
1.9999890805489557   2.0
2.000050146085106   2.0
1.9997606991613521   2.0
2.0004387776286534   2.0
Energies   eta
1.999964332678747   2.0
1.9998236125936244   2.0
1.9999830607722773   2.0
1.999798341639991   2.0
2.000059113343609   2.0
2.0001072641399333   2.0
1.9995563417172877   2.0
1.9996851314344204   2.0
2.0001402400344235   2.0
1.9997767882189506   2.0
Energies   eta
1.9998973826474253   2.0
1.9996807661901508   2.0
2.000127361508299   2.0
1.999856353788248   2.0
2.0000574954477908   2.0
2.000272355748941   2.0
2.000488455262897   2.0
1.9999410906471224   2.0
1.999940257554711   2.0
2.0000812494035847   2.0
Energies   eta
1.9998695240093791   2.0
1.9995497220156722   2.0
1.9998271934377252   2.0
1.9996000366422655   2.0
2.000011095941303   2.0
1.9999872160674586   2.0
1.9995949813792424   2.0
2.000111902819417   2.0
2.000067106392081   2.0
2.0001527858025545   2.0
Energies   eta
2.0000856548270094   2.0
2.00035584467862   2.0
1.9995157662266927   2.0
1.999116390525843   2.0
2.0007466548972586   2.0
1.99957252590726   2.0
1.9992407532029233   2.0
2.000090281891662   2.0
2.00008825910696   2.0
1.9997656856058654   2.0
Energies   eta
1.999885281937225   2.0
1.999097307665974   2.0
2.000693722812422   2.0
2.0000504097285834   2.0
2.0004894580869834   2.0
1.9998566522766998   2.0
2.0001010816238174   2.0
2.0001278789099515   2.0
2.0001315714329184   2.0
1.9998053462868173   2.0
Energies   eta
2.000708345679398   2.0
2.0005019699952324   2.0
1.999469789329435   2.0
2.000933383264682   2.0
1.999856453054709   2.0
2.000271413064724   2.0
2.0004391786490645   2.0
2.0007519578603525   2.0
1.9994583891561926   2.0
1.9995865778341029   2.0
Energies   eta
2.0005756127120446   2.0
1.9999076690755124   2.0
1.999859487734451   2.0
1.999509933143599   2.0
1.9999479121002612   2.0
2.0003837471254977   2.0
2.000243032834151   2.0
2.000049964236225   2.0
1.999712063837729   2.0
2.0002299815589195   2.0
Energies   eta
2.0001005197711406   2.0
1.9996221967610908   2.0
2.0001637077939978   2.0
2.000163265341464   2.0
1.999967349292307   2.0
1.9999131814563915   2.0
1.9999704899136892   2.0
2.0000182425410165   2.0
2.0000998595532793   2.0
1.9999859219476612   2.0
Energies   eta
1.9996379817966108   2.0
2.000501843669828   2.0
1.9999466171564424   2.0
1.999830043580793   2.0
2.0006247451680763   2.0
2.00020945649424   2.0
2.0003897932006987   2.0
2.000219069797694   2.0
1.9997881425304782   2.0
2.0000829455371574   2.0
Energies   eta
1.9992526348206783   2.0
1.9997952905040206   2.0
1.9997925525385918   2.0
1.999468335938238   2.0
2.0000114848862607   2.0
1.999882395813117   2.0
2.0004531003308172   2.0
1.9995957517457952   2.0
1.9997013202920364   2.0
2.000211551603794   2.0
Energies   eta
1.9998108863186996   2.0
1.9999849644724035   2.0
1.999469161960339   2.0
1.9993329338735506   2.0
1.9998394722371267   2.0
1.9998466485596755   2.0
2.000047006131648   2.0
2.000432013367436   2.0
2.0004845984268425   2.0
1.9999176867500026   2.0
Energies   eta
2.0001852128466187   2.0
2.0000295145282028   2.0
2.000467793485177   2.0
2.0001070215542325   2.0
1.9999850180186767   2.0
2.000268122807702   2.0
2.0000559754005045   2.0
1.9997147360221825   2.0
2.000281104945378   2.0
1.9998474765336873   2.0
Energies   eta
2.0002795993420506   2.0
1.9996661945478744   2.0
2.0002404540997003   2.0
1.9996263359776127   2.0
1.9999901565215135   2.0
2.0000428519416893   2.0
2.0000317634362434   2.0
2.0002717602313544   2.0
2.0002014388287566   2.0
1.9999558146166851   2.0
Energies   eta
1.9996631948896681   2.0
2.0001381324907825   2.0
1.9999797387578746   2.0
2.0012102781838066   2.0
1.9994157884402046   2.0
1.9995897940418592   2.0
1.9996303331172105   2.0
2.000060906598929   2.0
1.9998016120347153   2.0
1.9996775933082331   2.0
Energies   eta
2.0001746789833823   2.0
2.000553060486946   2.0
1.999163842195398   2.0
2.0003277613345456   2.0
1.999909648053235   2.0
2.0003822362578347   2.0
1.9997723322019583   2.0
2.000429753936962   2.0
1.9999184845083942   2.0
1.9998562164967206   2.0
Energies   eta
2.0001038682507013   2.0
1.9988610020476865   2.0
1.9996215370891564   2.0
2.0001159672018938   2.0
2.000068333753613   2.0
2.000123186466778   2.0
2.000110400955854   2.0
2.0003738572309504   2.0
1.999786143649637   2.0
2.0003991712552667   2.0
